#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
  14.800      2.15971E-01  2.86605E-01  2.94610E-01 -2.01309E-01 -2.56666E-02  1.35177E-01 -1.95573E-01 -1.89308E-01 -5.49243E-02
  14.900      2.13571E-01  2.85335E-01  2.95286E-01 -2.05318E-01 -3.20167E-02  1.29834E-01 -1.92508E-01 -1.92576E-01 -6.19871E-02
  15.000      2.11163E-01  2.84011E-01  2.95888E-01 -2.09220E-01 -3.83452E-02  1.24396E-01 -1.89251E-01 -1.95621E-01 -6.89745E-02
  15.100      2.08747E-01  2.82634E-01  2.96416E-01 -2.13013E-01 -4.46480E-02  1.18867E-01 -1.85804E-01 -1.98442E-01 -7.58781E-02
  15.200      2.06325E-01  2.81204E-01  2.96871E-01 -2.16698E-01 -5.09211E-02  1.13250E-01 -1.82172E-01 -2.01034E-01 -8.26896E-02
  15.300      2.03898E-01  2.79725E-01  2.97251E-01 -2.20272E-01 -5.71605E-02  1.07551E-01 -1.78360E-01 -2.03396E-01 -8.94008E-02
  15.400      2.01467E-01  2.78195E-01  2.97558E-01 -2.23736E-01 -6.33622E-02  1.01774E-01 -1.74372E-01 -2.05526E-01 -9.60036E-02
  15.500      1.99032E-01  2.76617E-01  2.97792E-01 -2.27087E-01 -6.95223E-02  9.59217E-02 -1.70213E-01 -2.07422E-01 -1.02490E-01
  15.600      1.96594E-01  2.74993E-01  2.97953E-01 -2.30327E-01 -7.56370E-02  9.00001E-02 -1.65888E-01 -2.09083E-01 -1.08853E-01
  15.700      1.94155E-01  2.73322E-01  2.98041E-01 -2.33453E-01 -8.17026E-02  8.40132E-02 -1.61401E-01 -2.10507E-01 -1.15084E-01
  15.800      1.91715E-01  2.71606E-01  2.98057E-01 -2.36466E-01 -8.77155E-02  7.79654E-02 -1.56758E-01 -2.11694E-01 -1.21176E-01
  15.900      1.89276E-01  2.69848E-01  2.98001E-01 -2.39366E-01 -9.36721E-02  7.18613E-02 -1.51964E-01 -2.12642E-01 -1.27122E-01
  16.000      1.86838E-01  2.68047E-01  2.97874E-01 -2.42151E-01 -9.95688E-02  6.57053E-02 -1.47025E-01 -2.13352E-01 -1.32915E-01
  16.100      1.84401E-01  2.66205E-01  2.97676E-01 -2.44822E-01 -1.05402E-01  5.95019E-02 -1.41945E-01 -2.13824E-01 -1.38548E-01
  16.200      1.81968E-01  2.64323E-01  2.97408E-01 -2.47379E-01 -1.11169E-01  5.32559E-02 -1.36730E-01 -2.14058E-01 -1.44015E-01
  16.300      1.79538E-01  2.62404E-01  2.97070E-01 -2.49821E-01 -1.16867E-01  4.69717E-02 -1.31386E-01 -2.14054E-01 -1.49310E-01
  16.400      1.77112E-01  2.60447E-01  2.96664E-01 -2.52149E-01 -1.22491E-01  4.06540E-02 -1.25918E-01 -2.13813E-01 -1.54425E-01
  16.500      1.74692E-01  2.58454E-01  2.96189E-01 -2.54363E-01 -1.28039E-01  3.43072E-02 -1.20333E-01 -2.13337E-01 -1.59357E-01
  16.600      1.72278E-01  2.56427E-01  2.95647E-01 -2.56462E-01 -1.33509E-01  2.79362E-02 -1.14636E-01 -2.12627E-01 -1.64098E-01
  16.700      1.69870E-01  2.54366E-01  2.95038E-01 -2.58448E-01 -1.38897E-01  2.15453E-02 -1.08832E-01 -2.11683E-01 -1.68644E-01
  16.800      1.67470E-01  2.52274E-01  2.94363E-01 -2.60321E-01 -1.44200E-01  1.51393E-02 -1.02929E-01 -2.10509E-01 -1.72989E-01
  16.900      1.65078E-01  2.50151E-01  2.93623E-01 -2.62081E-01 -1.49417E-01  8.72255E-03 -9.69308E-02 -2.09107E-01 -1.77130E-01
  17.000      1.62695E-01  2.47998E-01  2.92819E-01 -2.63728E-01 -1.54543E-01  2.29972E-03 -9.08446E-02 -2.07478E-01 -1.81060E-01
